name,ingredients,instructions,preparation_time,cooking_time,,total_time,image_url,source
Poulet rôti aux champignons cuisiné à la marocaine + potatoes,"la pulpe d'un demi citron confit4 gousses d'ail1 petit bouquet (6 brins) de coriandre haché (si vous en avez pas, vous pouvez mettre 1 cuillère à café de coriandre moulue)1/2 cuillère à café de poivre1/2 cuillère à café de cannelle1/2 cuillère à café de gingembre (c'est l'épice qui réussit le poulet cuisiné)2 bonne cuillères à soupe d'Huile d'oliveselSafranun gros oignon + une boite de champignons de paris","Quand vous aurez préparer cette marinade (chermoula), badigeonner votre poulet et réservez dans la marmite.Découpez et émincez 1 gros oignon et l'ajouter ainsi que les champignons.Couvrir à moitié le poulet d'eau et laisser mijoter 25 minutes chaque coté de votre poulet en ayant pris le soin de le retourner.Piquer votre poulet pour voir si c'est cuit, si de l'eau ne sort pas, c'est bon.Retire votre poulet de la marmite et disposez le dans un plat allant au four pour le faire gratiner pendant 1/4 d'heure chaque côté.Faire réduire la sauce+champignons pendant que le poulet est entrain de rôtir.",15 min,60 min,,75 min,https://www.ptitchef.com//imgupl/recipe/poulet-roti-aux-champignons-cuisine-a-la-marocaine-potatoes--md-92273p133041.jpg,https://www.ptitchef.com//recettes/plat/poulet-roti-aux-champignons-cuisine-a-la-marocaine-potatoes-fid-54269
SELLOU ... (pat. Marocaine),500 g de farine250 g d'amandes émondées250 g de graines de sésame100 g de beurre fondu125 g de miel1 cuillère à soupe de graines d'anis1 cuillère à soupe de cannelle1/2 noix de muscade râpée2 grains de gomme arabique pilésAmandes pour la décoration,"Faire dorer la farine à la poêle ou au four à 150°C pendant environ 20 minutes jusqu'à ce qu'elle soit bien doréeFaire griller les amandes, l'anis et les graines de sésames puis les passer au robot pour les mixer ensemble. Mélanger ces ingrédients, ajouter la gomme arabique, la cannelle et la muscade. Bien mélanger pour incorporer ces derniers ingrédients.Ajouter le beurre fondu et et le miel petit à petit pour bien les incorporer. Bien mélanger le tout.Met un blanc d'oeuf à la place de la gomme arabique qui est un liant comme un autre...et façonné à la main de petits cubes!Badigeonné de miel le dessus pour coller quelques amandes!",25 min,20 min,,45 min,https://www.ptitchef.com//imgupl/recipe/sellou-pat-marocaine--md-69114p91888.jpg,https://www.ptitchef.com//recettes/autre/sellou--pat-marocaine-fid-9801
Langue d'agneau à la marocaine.,"2 langues d'agneau 1 branche de céleri2 carottes1 oignon1 clou de girofle2 feuilles de laurier1 branche de thymsel et poivre en grains2 tiges de persil3 c à s d'huile d'olive 2 gousses d'ail8 carottes lavées, pelées et découpées en gros morceaux6 grosses tiges de céleri  pelées et découpées en tronçons1 oignon émincé1 c à c de graines de cumin1 citron confitsel et poivre","Préparation.  Mettre tous les légumes du bouillon dans la casserole avec les 2 langues et porter à ébullition. Diminuer la chaleur et laisser cuire pendant 45 minutes. Egoutter les langues, les peler et les couper en tranches. Dans une autre casserole, faire chauffer l?huile et y dorer les carottes, l?oignon et le céleri. Quand les légumes sont bien dorés, ajouter une louche du bouillon de cuisson. Faire mijoter en ajoutant un peu de bouillon si nécessaire. Ajouter le citron confit détaillé en dés et les langues10 minutes avant la fin de la cuisson.",10 min,60 min,,70 min,,https://www.ptitchef.com//recettes/plat/langue-d-agneau-a-la-marocaine-fid-1487242
Boulettes kefta à la marocaine...,"2 oignons moyensdu persilde la coriandre1 kg de viande hachéeselpoivreépices : 1 cuillère à café bombée de cumin, ½ cuillère à café de curcumade la purée de tomate ou 1 brique de coulis3 tomates1 gousse d'ail1 cuillère à café non bombée de paprika pour la - saucehuile d'olive","Eplucher et hacher les oignons. Laver le persil et la coriandre, ciseler les feuilles.Mélanger avec les mains ou à la cuillère en bois, le tout à la viande hachée. Assaisonner en salant et poivrant.Ajouter les épices.Eplucher et hacher l'ail. Monder les tomates, c'est-à-dire enlever la peau et les pépins puis couper en petits dés.Dans une casserole, mettre un filet d'huile d'olive, l'ail puis les dés de tomates. Laisser compoter 5 minutes.Ajouter le paprika, une pincée de curcuma et le coulis de tomate. Laisser mijoter à feu doux environ 30 minutes.Pendant ce temps façonner des boulettes de la taille que vous aimez. Les faire dorer dans une poêle avec un filet d'huile d'olive environ 15 minutes.Les réserver sur du papier absorbant. Les plonger dans la sauce tomate, et laisser mijoter encore 5 minutes.",15 min,50 min,,65 min,https://www.ptitchef.com//imgupl/recipe/boulettes-kefta-a-la-marocaine--md-444324p686910.jpg,https://www.ptitchef.com//recettes/plat/boulettes-kefta-a-la-marocaine-fid-1373441
Brochettes de foie d'agneau à la marocaine,2.1 kg de foie d'agneau coupé en morceaux2 oignons haché2cs de persil plat  frais haché2 cs de coriandre frais haché3 gousses d'ail haché2 cc de piment doux1/5 cc de piment fort1 cs de cumin3 cs d'huile d'olivesselpoivre,"Découper en gros dés le fois, ajouter au fur et à mesure l'oignon, le persil,la coriandre et les épices Malaxer le tout et laisser mariner 2 heures où au mieux toute une nuit Enfiler sur les brochettes ,prévoir au minimum 3 brochettes par personne.  Mettre au four th 200 7 à 10 mn pas plus , où au mieux les faire griller sur les braises en les retournant après cuisson saupoudrer de cumin  Servir aussitôt accompagné d'un pain marocain et du thé à la menthe.",30 min,15 min,,45 min,https://www.ptitchef.com//imgupl/recipe/brochettes-de-foie-d-agneau-a-la-marocaine--md-18478p22922.jpg,https://www.ptitchef.com//recettes/autre/brochettes-de-foie-d-agneau-a-la-marocaine-fid-1116994
Boulettes aux 3 poivrons à la marocaine,"400 g de viande hachée2 cuillères à soupe de gruyère2 cuillères à soupe de chapelure1 cuillère à café de cumin1 cuillère à café de paprika1 cuillère à soupe de persil hachédu selpoivre3 poivrons (1 rouge, 1 vert, 1 jaune)de l'huile d'olive5 tomates1 oignon hachéde l'huile d'olive1 cuillère à café de parika1 cuillère à café de curcumaselpoivre","Pour les boulettes: Dans un saladier, mettre le hachis, ajouter la chapelure, le fromage râpé, les épices et verser un filet d'huile d'olive.Bien mélanger. Former des boulettes et les mettre au frais.Dans un poêlon, faire revenir l'oignon émincé dans l'huile d'olive jusqu'à ce qu'il soit transparent.Peler et épépiner les tomates , les râper et ajouter le coulis obtenu avec l'oignon.Ajouter les épices, le sel et le poivre. Laisser mijoter 10 minutes.Ensuite ajouter un petit verre d'eau et porter à ébullition.Disposer les boulettes sur la sauce tomate , couvrir et laisser cuire à feu doux sans remuer jusqu'à cuisson complète.Compter environ 20 minutes à feu doux. Mélanger de temps en temps.Couper les poivrons en lamelles et les faire revenir dans un filet d'huile d'olive.Ajouter un peu de sel et mélanger à feu doux 10 minutes.Disposer ces lamelles sur le plat bien chaud.",15 min,30 min,,45 min,,https://www.ptitchef.com//recettes/plat/boulettes-aux-3-poivrons-a-la-marocaine-fid-742265
Poulet de grain à la marocaine du chef Gilles Hamel,"1 poulet de grain d'environ 1,5 kg1/2 citron frais lavéSelpoivre1 citron coupé en quatre2 oignons émincés6 gousses d'ail non pelées24 olives noires Kalamata1 tasse de vin blanc1 demi-bouquet de coriandre fraîche hachée1 cuillère à soupe de pâte Harissa","Frotter le poulet avec le demi-citron et le placer ans le poulet. Saler et poivrer la peau du poulet ainsi que l'intérieur. Retirer la pulpe du citron en ne gardant que la peau extérieure.Mettre le poulet dans une cocotte et garnir le tout des oignons, de l'ail et des olives.Verser le blanc sur le poulet, couvrir et cuire 1 heure à 350 F .Mettre la cocotte sur feu moyen, retirer le poulet le garder chaud. Vider les gousses d'ail dans la sauce en pressant avec les doigts. Ajouter 1 demi-bouquet de coriandre fraîche hachée, la pâte Harissa. Mélanger et laisser mijoter 5 minutes.Découper le poulet, garnir avec les citrons et les olives. Napper de sauce.Servir avec couscous aux raisins et aux épices.",15 min,60 min,,75 min,https://www.ptitchef.com//imgupl/recipe/poulet-de-grain-a-la-marocaine-du-chef-gilles-hamel--md-305257p498421.jpg,https://www.ptitchef.com//recettes/plat/poulet-de-grain-a-la-marocaine-du-chef-gilles-hamel-fid-425868
Bucatini et agneau à la marocaine,"2 cuillères à café huile olive1 petit oignon (80 g), émincé finement2 gousses d'ail, pilées500 g agneau, émincé1 cuillère à café de cumin en poudre1/2 cuillère à café piment cayenne en poudre1/2 cuillère à café cannelle en poudre2 cuillères à soupe de concentré de tomates2 boites de 400 g de tomates1 grosse courgette (150 g) coupée grossièrement2 cuillères à soupe menthe fraîche, finement ciseléesel375 g bucatini","Dans une sauteuse ou une cocotte en fonte, chauffer l'huile d'olive et ajouter l'oignon et l'ail et laisser suer en remuant constamment, ça ne doit pas brûler.Quand l'oignon est bien tendre, ajouter l'agneau haché et continuer à mélanger constamment pour pas que ça attache ni que ça prenne en catons.  Lorsque tout l'agneau a changé de couleur, ajouter les épices, et prolonger la cuisson jusqu'à ce que le mélange embaume.Ajouter le concentré de tomates, les tomates en conserve concassées et avec leur jus, et la courgette.  Porter à ébullition, baisser le feu et laisser mijoter sans couvrir environ 15 minutes, la sauce va épaissir un peu. Assaisonner, goûter, rectifier.Pendant ce temps, mener la cuisson des pâtes dans une grande quantité d'eau bouillante salée et selon les indications sur le paquet.Au moment de servir, incorporer dans la sauce la quasi-totalité des herbes, égoutter les pâtes, servir les pâtes et déposer la sauce par dessus, décorer avec le reste des herbes.",10 min,20 min,,30 min,https://www.ptitchef.com//imgupl/recipe/bucatini-et-agneau-a-la-marocaine--md-154247p230510.jpg,https://www.ptitchef.com//recettes/plat/bucatini-et-agneau-a-la-marocaine-fid-157089
Encore une bonne recette marocaine: Les biscuits chahda,100 g  de beurre400 g de farinezeste de citron1 oeuf125 g sucre125 g noix de coco1 sachet levure1 verre de l'huileun peu de sucre pour décorer,"Bien travailler le sucre et le beurre, ajouter les œufs, l'huile, la noix de coco, la farine, la levure et le zeste de citron râpé.Former de petites boules qu'on aplatit avec le moule ci-dessous.Les faire cuire au four pendant 12 minutes.",10 min,12 min,,22 min,https://www.ptitchef.com//imgupl/recipe/encore-une-bonne-recette-marocaine-les-biscuits-chahda--md-90683p130298.jpg,https://www.ptitchef.com//recettes/autre/encore-une-bonne-recette-marocaine-les-biscuits-chahda-fid-51934
Salade de couscous aux concombres et tomates à la marocaine,"2 tasses de coucouscous israélien ou pâtes alimentaires en forme de perles1 tasse de raisins de Corinthe1 petit oignon rouge, haché fin4 tasses de tomates de serre épépinées et coupées en dés2 cuillères à soupe d'huile d'oliveSelpoivre noir fraîchement concassé4 tasses de concombre de serre, coupé en dés2 cuillères à soupe de menthe fraîche, hachée1 tasse d'amandes grillées, effilées1/3 tasse d'huile végétale1/4 tasse de vinaigre de vin blanc4 cuillères à thé de moutarde de Dijon1 cuillère à soupe de cumin moulu2 cuillères à thé de chacun : coriandre moulue, poivre noir et sel1 cuillère à thé de cachun : curcuma, muscade, cardamome et paprika moulus1/2 cuillère à thé chacun : sauce au piment fort et cannelle moulue","Vinaigrette à la marocaine: Dans un grand bol, bien mélanger tous les ingrédients à l'aide d'un fouet. Donne environ 3/4 tasse. Réserver.Dans une grande casserole remplie d'eau bouillante salée, cuire le couscous 20 minutes ou jusqu'à ce qu'il soit tendre mais non pâteux. Égoutter et incorporer les raisins et l'oignon.Arroser la préparation au couscous de vinaigrette à la marocaine et remuer délicatement jusqu'à ce que le tout soit bien mélangé. Couvrir et laisser reposer 2 heures ou mettre au réfrigérateur jusqu'au lendemain. Goûter et rectifier l'assaisonnement, si nécessaire.Mélanger les tomates en dés avec l'huile d'olive et une pincée de sel et de poivre. Mélanger les concombres en dés avec une pincée de sel. Laissez reposer chacune des préparations 15 minutes, égoutter et jeter les liquides. Incorporer la menthe au concombre.Pour servir, placer un anneau de 4 pouces au centre de chaque assiette refroidie. Mélanger le couscous avec les amandes et remplir l'anneau de 1/2 tasse de préparation jsuqu'à ce qu'elle soit à niveau. Recouvrir de 1/4 de tasse de tomates et couronner de 1/4 de tasse de concombre. Presser légèrement et retirer l'anneau délicatement.Donne 16 portions.",180 min,20 min,,200 min,https://www.ptitchef.com//imgupl/recipe/salade-de-couscous-aux-concombres-et-tomates-a-la-marocaine--md-73993p101172.jpg,https://www.ptitchef.com//recettes/entree/salade-de-couscous-aux-concombres-et-tomates-a-la-marocaine-fid-21834
Brochettes de poulet et poivron à la marocaine,600g de blancs de poulet1 oignon1/2 botte de coriandre1 c. à s. de ras el hanout1/2 c. à c. de safransel et poivre1 citron4 c. à s . d'huile d'olive1 poivron rouge,"Préparez la marinade avec l'oignon émincé, la coriandre hachée, les épices, le sel et le poivre, le jus du citron et 2 c. à soupe d'huile d'olive. Ajoutez le poulet, mélangez bien et laissez mariner au frais au minimum 1/2 heure.Faites préchauffer votre four à 180°C.Coupez votre poivron en carrés puis confectionnez vos brochettes en alternant les morceaux de poulet de poivron.Faites chauffer le reste d'huile d'olive dans une poêle et faites dorer rapidement les brochettes de tous les cotés puis mettez les à cuire dans le four de 5 à 10 minutes. Vous pouvez également les faire cuire directement au barbecue ça n'en sera que meilleur.",40 min,10 min,,50 min,,https://www.ptitchef.com//recettes/autre/brochettes-de-poulet-et-poivron-a-la-marocaine-fid-11129
Salade de carottes à la marocaine,200 gr de carottes surgelés1 Cuillère à soupe de cuminjus d'1/2 citron2 Cuillères à café d'ail surgeles1 Cuillère à soupe de coriandre en poudre,"Dans une grande casserole, faire cuire les carottes avec un peu d'eau pendant 15 minute.Égoutter les carottes et les faire revenir ensuite dans une poêle avec un peu d'huile d'olives bien chaude.Ajouter le cumin et le jus de citron. Mélanger.Couper le feu et incorporer la coriandre et l'ail.Laisser refroidir tranquillement dans la poêle pour que les parfums se mélangent bien, en remuant de temps en temps.",10 min,15 min,,25 min,,https://www.ptitchef.com//recettes/entree/salade-de-carottes-a-la-marocaine-fid-799686
POULET AUX OLIVES ET AU CITRON CONFI A LA MAROCAINE,"1 poulet fermier250 g de fois de poulet250 g de gésiers de poulet2 gros oignons3 gousses d'ail1 bol de coriandre et persil1 gros citron confit500 g d'olives1 cuillère à café  de gingembre, curcuma, sel, poivre2 sachets de safran2 grosses cuillère à soupe  de moutarde100 g de beurre mou  ou de margarine","La veille, bien laver le poulet laisser égoutter, pendant ce temps préparer la charmoula, hachez les oignons avec la coriandre et le persil l'ail.Les mettre dans une terrine et y ajouter toutes épices, sel et poivre mouillez avec 1/2 verre d'eau.Bien mélanger et enduire tout le poulet intérieure comme extérieure même entre la peau et la chaire pour qu'elle s'imprègne bien des saveurs.Le lendemain, déposez dans un fait tout le poulet et la charmoula rajoutez un petit verre à thé d'huile et faites revenir le poulet dans tous les sens pour qu'il soit bien saisi une fois cette opération faites, mouillez à moitié d'eau et laissez cuire.Prélevez un peu de sauce et mettez la dans une casserole dans laquelle, vous faites cuire les abats découpés en petits morceaux.Une fois le poulet cuit, l'enduire du mélange moutarde et beurre, les disposés dans un plat à four et les faire bien doré.Pendant ce temps la, faites réduire la sauce, jusqu'à ce qu'elle soi bien onctueuse.Dans la casserole vérifiez que les foies et les gésiers sont bien cuit et si c'est le cas écrasez à la fourchette le foie et reversez le tout sur la sauce qui s'est réduit.Dressez le poulet tout chaud dans un plat de service arrosez le de la sauce onctueuse.Découpez des lanières de citrons confit que vous disposez par dessus et semez des olives si et la sur le poulet comme accompagnement et dégustez avec un pain maison.",15 min,25 min,,40 min,https://www.ptitchef.com//imgupl/recipe/poulet-aux-olives-et-au-citron-confi-a-la-marocaine--md-369445p594740.jpg,https://www.ptitchef.com//recettes/plat/poulet-aux-olives-et-au-citron-confi-a-la-marocaine-fid-645863
Tagine de lotte à la marocaine,"800 g de lotte800 g de tomates2 courgettes1 poivron rouge300 g de carottes1 cuillère à café de gingembre moulu2 cuillères à café de paprika1/2 cuillère à café de piment pili-pili moulu Albert Ménès1 cuillère à café de cumin moulu Albert Ménès2 cuillères à café de confit d'ail Albert Ménès ou à défaut 2 gousses d'ailquelques feuilles de coriandre fraîcheHuile d'olivesel, poivre","Préparez la marinade en mélangeant 3 cuillères à soupe d'huile d'olive, le confit d'ail, la coriandre ciselée, le cumin moulu, le piment pili-pili, le paprika et une pincée de sel.Coupez la lotte en morceaux et retournez tous les morceaux dans la marinade. Laissez reposer 3 heures au réfrigérateur.Préparez les légumes:  Pelez les tomates et coupez-les en cubes.  Faites griller le poivron au gril, sous toutes ses faces.  Une fois refroidi, épluchez-le et épépinez-le.  Découpez-le en fines lanières.  Épluchez les carottes et les courgettes et coupez-les en petits morceaux allongés.Pour la sauce, récupérez une bonne cuillère à soupe de marinade que vous mélangez à 3 cuillères à soupe d'huile d'olive.  Ajoutez 1 cuillère à café de gingembre moulu, 10 cl d'eau, du sel et du poivre.Versez la sauce dans une cocotte, ajoutez les morceaux de lotte marinés et les légumes.  Laissez cuire à feu doux pendant 30 à 40 minutes.",20 min,40 min,,60 min,https://www.ptitchef.com//imgupl/recipe/tagine-de-lotte-a-la-marocaine--md-243297p392089.jpg,https://www.ptitchef.com//recettes/plat/tagine-de-lotte-a-la-marocaine-fid-300875
ZAALOUK (SALADE MAROCAINE D?AUBERGINES),"1 kg (2.2 lbs) d'aubergines1.5 kg (environ 1 lb) de tomatesun gros oignon haché finementde l'huile d'olive (1 cuillère à table/30 ml)jus de citron (½ citron dans la préparation à cuire, + 2-3 cuillères à soupe avant de servir)sel et poivre (au goût)1 bonne cuillère à soupe (15 ml) de cumin1 cuillère à soupe (15 ml) de piment doux (paprika)5 à 6 gousses d'ail2 bonnes cuillères à soupe de coriandre en purée","Cuisez les aubergines coupées en dés avec la peau pendant environ 30 minutes dans de l'eau salée.Mettre à cuire entre temps l'oignon dans une poêle avec de l'huile d'olive, puis les tomates mondées et coupées en dés (environ 5 minutes) avec le cumin, le piment doux, l'ail, le sel, le poivre et le jus de citron.Quand les aubergines sont cuites, les égoutter et les presser pour évacuer l'excédent d'eau; les ajouter aux tomates.Écraser le tout, et remuer jusqu'à ce que toute l'eau soit évaporée à feu très doux (environ 15 minutes). Ajouter du jus de citron (+ la purée de coriandre) et du sel à votre goût.Servir bien froid avec des rondelles de citron en garniture",15 min,50 min,,65 min,https://www.ptitchef.com//imgupl/recipe/zaalouk-salade-marocaine-d-aubergines--md-302343p493856.jpg,https://www.ptitchef.com//recettes/plat/zaalouk-salade-marocaine-d-aubergines-fid-413908
Salade de fruits d'hiver marocaine,2 oranges1 pommes1 cuillère à soupe de miel d'acacia1 branche de menthe fraîche1 cuillère à café de cannelle4 gouttes d'huiles essentielles shérazade de délices et sens,"Découper les fruits en petits morceaux.Ajouter la cannelle et le miel.Hacher grossièrement les feuilles de menthe et les ajouter, mélanger.Laisser reposer au moins une heure au frigo pour un sirop bien savoureux.",10 min,0 min,,10 min,,https://www.ptitchef.com//recettes/dessert/salade-de-fruits-d-hiver-marocaine-fid-706943
Filets de merlan à la chermoula marocaine,150 g à 200 g de filet de merlan ou équivalent2 cuillères à soupe de coriandre hachée½ cuillère à café de paprika½ cuillère à café de cumin1 gousse d'ail écrasé1 cuillère à soupe d'huile d'olive2 cuillère à soupe de jus de citron,"Marinez les filets avec le mélange de chermoula.Laisser au refrégirateur de 2 heures à 24h.Faites cuire à la vapeur ou au four, avec 1 cuillère à soupe d'huile d'olive ou en friture (passée dans de la farine).",10 min,15 min,,25 min,,https://www.ptitchef.com//recettes/plat/filets-de-merlan-a-la-chermoula-marocaine-fid-856215
Lentilles a la tomate(recette marocaine),"lentilles,(trempées la veille dans l'eau)1 oignon1 tomate4 gousses d'ail écrasées1 cuillère a soupe de concentré de tomateshuileselpoivresafran colorantcuminpersilcoriandreeau","Rincer les lentilles,les mettre dans une cocotte. Ajouter l'oignon ciselé,la tomate concassée,l'ail,le concentré de tomates, l'huile, les sel, le poivre, le safran colorant, le cumin et environ 3 grands verre d'eau.Mélanger le tout et mettre sur feu moyen j'usqu'à cuisson complète avant la fin de la cuisson (10 minutes) ajouter le persil et la coriandre hachés.Servir bien chaud avec un bon pain!",10 min,30 min,,40 min,,https://www.ptitchef.com//recettes/plat/lentilles-a-la-tomaterecette-marocaine-fid-663789
Agneau à la marocaine,1 kg d'épaule d'agneau désossée et coupée en cubes3 oignons3 gousses d'ail200 g d'abricots secs125 g d'amandes3 cuillère à soupe  de miel liquide3 cuillère à café de ras-el-hanoutcoriandre ciselée (surgelée)4 cuillère à soupe  d'huile d'olive,"Peler et émincer les oignons. Éplucher et hacher les gousses d'ail.Faire revenir ail et oignons 5 minutes sur feu moyen dans une cocotte en fonte avec 2 cuillère à soupe d'huile. Réserver.Dorer l'épaule d'agneau dans la même cocotte avec le reste d'huile bien chaude.Saler, poivrer puis saupoudrer de ras-el-hanout. Mélanger pendant environ 3 minutes.Dorer les amandes à sec dans une poêle antiadhésive bien chaude.Remettre l'ail et les oignons dans la cocotte. Ajouter les abricots, les amandes, le miel liquide et la coriandre.Verser 50 cl d'eau et laisser mijoter doucement à couvert 1 heure 30 minutes.Servir avec de la semoule.",15 min,60 min,,75 min,https://www.ptitchef.com//imgupl/recipe/agneau-a-la-marocaine--md-369298p594500.jpg,https://www.ptitchef.com//recettes/plat/agneau-a-la-marocaine-fid-643768
Lentilles à la marocaine à ma façon,200 g de lentilles (blondes pour moi)1 tomate bien mûre coupée en dés1 à 2 cuillères à café de concentré de tomate1 gousse d'ail1 oignons coupé en lamelles fines1 carotte coupée en rondelles ou dés2 c.soupe d'huile d'olive1 escalope coupée en désSelPoivrePaprikaGingembreCurcumasafranpiment rouge,"Faire revenir dans une casserole les oignons+ viande. Ajouter ensuite les épices + carottes et enfin la tomate.laisser mijoter ; ajouter un peu d'eau si besoin. ajouter le concentré de tomate , diluer puis verser les lentilles et couvrir d'eauLaisser cuire à couvert en rajoutant si besoin de l'eau",10 min,40 min,,50 min,,https://www.ptitchef.com//recettes/plat/lentilles-a-la-marocaine-a-ma-facon-fid-56608
RGHAIFS DIAL KHLII (CREPES MAROCAINE AU VIANDE SECHEE),"500g de farine500g de semoule fine1 cuillère à café de sel25 cl d'eau tiède1 bol de mélange huile/beurre1/2 cuillère à café de levure fraîche3 oignons moyens râpés200 g de morceaux de viande boucanées (khlii) agriche4 c.à.s de persil et coriandre hachésPaprika, Sel, Poivre.","Faites revenir les oignons dans un peu de graisse de khlii. Quand les oignons son devenues transparents, ajoutez le reste des ingrédients.Laissez refroidir.Faites un puits au centre de la farine, ajouter la levure, le sel un peu plus loin (sinon la levure ne s'activera pas).Verser l'eau en petites doses en pétrissant jusqu'à obtenir une pâte bien lisse (ou alors utiliser votre robot ). Il est très important de bien pétrir.Laisser repose 20 à 30 minutes, important puisque cela vous aidera à la travailler par la suite. Huiler vos mains, faites des boules de la taille d'un œuf et ranger sur un plateau.Étaler les boules une à une avec la paume de la main huilée et ensuite avec les doigts en étirant doucement la pâte dans tous les sens jusqu'à ce qu'elle soit fine. Étaler de façon régulière la farce.Rabattre les 4 côtés en les faisant se chevaucher de façon à obtenir un carré . Aplatir légèrement. faites cuire sur une poêle chaude sans graisse.Plus de photos sur mon site (smat de lalla)",30 min,20 min,,50 min,,https://www.ptitchef.com//recettes/autre/rghaifs-dial-khlii-crepes-marocaine-au-viande-sechee-fid-1501704
Croquettes de pommes de terre à la marocaine (maâkouda),4 pommes de terre coupées en cubes2 oeufsPersil et coriandre frais3 gousses d'ail1 cuillère à soupe de cumin1/2 cuillère à café de curcumaSel et poivreun peu de farine T 80Huile végétale,"Cuire les pommes de terres à la vapeur. Les réduire en purée avec un moulin à légumes.Dans un saladier, disposer la purée de pomme de terre, ajouter 1 œuf, du persil et de la coriandre hachés, l'ail écrasé, le cumin et le curcuma.  Saler et poivrer et mélanger le tout.Confectionner des boulettes et les aplatir légèrement avec les doigts.Les tremper une à une dans un bol contenant un œuf battu puis les fariner des deux côtés.  Prendre soin de bien enlever l'excédant de farine en tapotant légèrement les croquettes.Faire cuire dans une poêle avec un peu d'huile et en rajouter au besoin ou dans un bain de friture si vous le souhaitez.",15 min,15 min,,30 min,,https://www.ptitchef.com//recettes/aperitif/croquettes-de-pommes-de-terre-a-la-marocaine-maakouda-fid-415461
Seffa Marocaine sur un air de Nabila,cheveux d'angesde l'eau tièdede l'huiledu beurredes raisins secsde la cannelledu sucre glaceamandes concassés grillées (facultatif),"Mettre de l'eau dans un couscoussier et laisser bouillir.Dans un saladier mettre vos cheveux d'anges et l'équivalent d'une cuillère à soupe d'huile. Bien imprégner les cheveux d'anges d'huile. Mettre dans le haut du couscoussier et laisser cuire pendant 20 minutes.Au bout des 20 minutes, mettre les cheveux d'anges dans le saladier et les imprégnez d'eau tiède, et laissez absorber 5 minutes. Remettre dans le haut du couscoussier à nouveau et laisser cuire 20 minutes.A nouveau remettre dans le saladier et aspergez à nouveau d'eau, laissez absorber 5 minutes. Cette fois-ci vous rajouter les raisins secs aux cheveux d'anges et vous les mettez à cuire pour une dernière fois sur le couscoussier.Une fois la dernière cuisson à la vapeur terminée, vous mettez les cheveux d'anges avec les raisins secs dans un grand saladier ou une grande assiette. Vous rajoutez du beurre (là aussi à vous de voir combien vous voulez en mettre), ainsi que du sucre glace. Vous mélangez bien le tout.Vous disposez comme vous le voulez dans une grande assiette en monticule (genre une pyramide) au sommet vous mettez les amandes concassées et sur les côtés des lignes de cannelle et de sucre glace ou en petites portions comme moi, et ensuite vous décorez avec de la cannelle, du sucre glace et des amandes concassés grillées.",20 min,40 min,,60 min,https://www.ptitchef.com//imgupl/recipe/seffa-marocaine-sur-un-air-de-nabila--md-126184p188844.jpg,https://www.ptitchef.com//recettes/entree/seffa-marocaine-sur-un-air-de-nabila-fid-99092
Salade de carottes râpées à la Marocaine,"300 g de carottes1 orange (non traitée, c'est mieux)1/2 citron jaune1 cuillère à café d'eau de Fleur d'Oranger1 cuillère à soupe de sucre rouxSelPoivre2 cuillères à soupe d'huile d'olive","Râper les carottes à l'aide d'une râpe fine.Presser l'orange et le demi-citron.Mélanger les jus avec l'eau de Fleur d'Oranger, le sucre, l'huile d'olive. Saler et poivrer légèrement.Ajouter la sauce dans les carottes, mélanger et conserver au réfrigérateur jusqu'au moment de passer à table.",20 min,0 min,,20 min,,https://www.ptitchef.com//recettes/entree/salade-de-carottes-rapees-a-la-marocaine-fid-96578
Soupe Marocaine au Poulet et aux Pois Chiches.,2 cuillères à soupe d'huile d'olive35 g de farine1 l de bouillon de volaille1 l d'eau340 g de blanc de poulet (ou 2 blancs)2 boîtes de 300 g de pois chiches2 boîtes de 400 g de tomates concassées1 gros oignon haché2 gousses d'ail écrasées1 cuillère à soupe de gingembre frais rappé1.5 cuillère à café de cumin moulu1.5 cuillère à café de coriandre moulue1 cuillère à café de curcuma1/2 cuillère à café de paprika1 bâton de cannelle2 cuillères à soupe de citron confit haché1 cuillère à soupe de coriandre fraîche hachée grossièrement,"Pour commencer, on fait chauffer la moitié de l'huile d'olive dans une cocotte et on fait revenir le poulet, sans couvrir, 10 minutes environ, jusqu'à ce qu'il soit doré.On réserve, puis lorsqu'il est refroidi, on le détaille en lanières avec deux fourchettes.Dans la cocotte, on ajoute le reste de l'huile et on fait revenir l'oignon, l'ail et le gingembre. L'oignon doit devenir translucide, sans roussir.Ajoutez toutes les épices, et laissez les chauffer en remuant, leurs parfums doivent commencer à parfumer votre cuisine... Respirez un grand coup, ça fait du bien.Ajoutez la farine en remuant toujours, puis l'eau et le bouillon. Portez à ébullition et laissez mijoter à feu moyen 20 minutes environ, sans couvrir. Là, votre cuisine sent la cannelle.Ajoutez les pois chiches rincés et égouttés (si vous êtes courageux, vous en avez enlevé la peau, un par un...) et les tomates, portez à ébullition et laissez cuire 10 minutes, toujours sans couvrir.Enfin, ajoutez le poulet et le citron confit. Ajoutez la coriandre au moment de servir.",20 min,40 min,,60 min,,https://www.ptitchef.com//recettes/plat/soupe-marocaine-au-poulet-et-aux-pois-chiches-fid-33110
